row_id,impact_domain,ioos_component,region,ioos_region_code,user_group,decision_supported,economic_pathway,metric,metric_year_or_dollar_year,source,source_url,evidence_strength,ioos_attribution_strength,source_verification_needed,limitations,claim_allowed,update_frequency,ai_extraction_notes
MARACOOS-MA-004,Maritime transportation / PORTS,MARACOOS HF-radar network supporting NOAA PORTS,New York Harbor and Chesapeake Bay,MARACOOS,"NOAA NOS, port pilots, vessel operators, NWS forecast offices",Use enhanced current information for navigation support and marine forecasting,Improved navigation and forecasting can reduce delays and operational risk in major waterways,"Strategic plan says NOAA NOS uses HFR to enhance PORTS for New York Harbor and Chesapeake Bay, and NWS WFOs use the data in AWIPS2 and Nearshore Wave Prediction Systems",Not stated in source; plan period 2021-2026,MARACOOS Strategic Operational Plan 2021-2026,https://maracoos.org/wp-content/uploads/2023/08/MARACOOS_StrategicOperationalPlan_2021-2026-FINAL.pdf,Medium,Strong,Yes,Planning document rather than independent verification; no quantified delay or accident reduction; attribution is specific to HFR enhancement but downstream benefit is not monetized; source age is moderate,MARACOOS states that its HF-radar data are used by NOAA to enhance PORTS products in New York Harbor and Chesapeake Bay.,Near-real-time operational products,Useful direct attribution row for maritime transportation; source links MARACOOS HFR to NOAA PORTS and NWS decision-support systems.
MARACOOS-MA-005,HF radar / search and rescue,MARACOOS New York HF-radar stations,New York Bight,MARACOOS,"U.S. Coast Guard, commercial mariners, recreational boaters",Target search-and-rescue activity and improve maritime safety decisions,Reduced search footprint and safer navigation can lower response burden and operational risk,MARACOOS says it operates six HF-radar stations across New York coastal waters and that the data enable USCG to reduce search areas by up to two-thirds,Not stated in source,New York - MARACOOS,https://maracoos.org/region/new-york/,Medium,Strong,Yes,Web summary page rather than primary USCG documentation; no incident counts or cost figures; search-area claim should be cross-checked against case-study sources; geography limited to New York Bight,MARACOOS says its New York HF-radar network supports Coast Guard search-and-rescue and maritime safety in the New York Bight.,Real-time,"Region page provides a clear MARACOOS-attributed statement: six stations, NY Bight, and up-to-two-thirds search-area reduction."
MARACOOS-MA-006,HF radar / search and rescue,MARACOOS Lewes HF-radar stations,Delaware Bay,MARACOOS,"U.S. Coast Guard, coastal mariners",Use surface current data for search-and-rescue planning in Delaware Bay,Faster and narrower searches can reduce response effort and protect property,MARACOOS says two Lewes HF-radar stations provide real-time surface-current data and reduce search areas by two-thirds,Not stated in source,Delaware Bay - MARACOOS,https://maracoos.org/region/delaware-bay/,Medium,Strong,Yes,Web summary page; no independent case file or monetized savings; search-area reduction likely derives from broader HF-radar literature rather than a Delaware-only valuation; page date not explicit,MARACOOS says its Delaware Bay HF-radar stations provide real-time current data for Coast Guard search-and-rescue use.,Real-time,Useful local Delaware Bay row with direct MARACOOS attribution and explicit decision use.
MARACOOS-MA-007,HF radar / search and rescue,Assateague Island HF radar,Chesapeake Bay entrance / Mid-Atlantic coast,MARACOOS,U.S. Coast Guard,Use surface currents to narrow search areas in rescue cases,Improved rescue efficiency can reduce operating costs and speed response,MARACOOS says its Assateague Island HF radar aids Coast Guard search and rescue and reduces search areas by up to two-thirds,Not stated in source,Chesapeake Bay - MARACOOS,https://maracoos.org/region/chesapeake-bay/,Medium,Strong,Yes,"Web summary page, not an incident-level evaluation; no dollar estimate; claim may rest on broader network evidence rather than Assateague-only measurement; page date not explicit",MARACOOS says its Assateague HF radar supports Coast Guard search-and-rescue decisions at the Chesapeake Bay entrance.,Real-time,"Direct MARACOOS asset named in source; conservative use is support for SAR decisions, not quantified savings."
MARACOOS-MA-008,HF radar / search and rescue,"Virginia HF-radar stations at Virginia Beach, Cape Charles, and Cedar Island",Virginia coast,MARACOOS,"U.S. Coast Guard, commercial navigators",Use real-time currents for search-and-rescue and navigation decisions,Better current data can support safer navigation and more efficient emergency response,MARACOOS says it supports four HF-radar stations in Virginia and that these help cut search areas by two-thirds while supporting navigation,Not stated in source,Virginia - MARACOOS,https://maracoos.org/region/virginia/,Medium,Strong,Yes,Web summary page; no port-delay or SAR-cost accounting; source combines several sites and user groups; underlying quantified search-area evidence should be verified against primary SAROPS studies,MARACOOS says its Virginia HF-radar stations support Coast Guard search-and-rescue and commercial navigation decisions.,Real-time,Row adds southern Mid-Atlantic coverage and ties direct MARACOOS asset support to maritime safety and navigation.
MARACOOS-MA-009,Maritime transportation / navigation,OceansMap Insight: Navigation Chesapeake Bay,Chesapeake Bay shipping channel,MARACOOS,"Pilots, port operators, mariners","Assess winds, water levels, and currents along the shipping channel before and during transits",Better situational awareness can reduce transit risk and support more efficient vessel movement,"Insight places virtual stations along the shipping channel and exposes wind, water level, and current conditions at decision points",Not stated in source,Insights - MARACOOS,https://maracoos.org/insights/,Medium,Strong,Yes,Product-description page rather than usage analytics; no named user or avoided-delay metric; update cadence not quantified on the page; operational benefit is plausible but not monetized,"MARACOOS publishes a Chesapeake Bay navigation workflow that bundles channel wind, water-level, and current information for transit decisions.",Near-real-time,Insight is clearly decision oriented and maritime; good cautious row even without quantified outcomes.
MARACOOS-MA-010,Coastal hazards / beach safety,Virginia Beach MARACOOS webcamera and OceansMap feed,"Virginia Beach, Virginia",MARACOOS,"Virginia Beach Lifesaving Service, NWS, beach managers",Set rip-current and surf-condition advisories and daily beach-safety operations,"Better advisories can reduce rescues, injuries, and beach-management inefficiency at a major tourism site",News page says webcam supports NWS rip-current forecasts and Virginia Beach Lifesaving Service beach-safety decision-making,2025 news season context; exact date on page not extracted,MARACOOS Celebrates Virginia Beach Webcamera Installation - MARACOOS,https://maracoos.org/news/maracoos-celebrates-virginia-beach-webcamera-installation/,Medium,Strong,Yes,"News post, not outcome evaluation; no rescue counts or tourism metrics; AI rip-current detection mentioned as experimental; benefits are operational and public-safety oriented, not monetized",MARACOOS says its Virginia Beach webcam supports NWS rip-current forecasts and local beach-safety decisions.,Continuous / real-time imagery,Direct decision-use row with named local users and a concrete safety function.
MARACOOS-MA-011,Coastal hazards / resilience,OceansMap Insight: Coastal Flood Watch Map and WebCOOS webcams,"New York City, New York and Hoboken, New Jersey",MARACOOS,"Emergency managers, local planners, flood observers",Compare observed street and shoreline conditions with wave and water-level predictions during flooding,Improved situational awareness can support faster local response and better flood-management decisions,Insight combines MARACOOS flood-view webcams with wave and water-level prediction datasets and CO-OPS stations for side-by-side comparison,Not stated in source,Insights - MARACOOS,https://maracoos.org/insights/,Medium,Strong,Yes,Product page rather than an after-action report; no specific agency adoption or savings figure; limited to listed camera locations; operational value inferred from situational awareness,MARACOOS publishes a flood-watch map that lets users compare webcam observations with forecast and observed water-level conditions in New York City and Hoboken.,Near-real-time,Useful resilience row because it explicitly describes comparison of imagery with forecast and CO-OPS data.
MARACOOS-MA-012,Coastal hazards / resilience,Virginia coastal water-level sensor deployments,Virginia coastal communities,MARACOOS,"Local governments, emergency planners, residents","Prepare for nuisance flooding, storm surge, and hurricane impacts",More timely flood information can reduce disruption and improve preparedness decisions,"MARACOOS says it is deploying water-level sensors across the Middle Peninsula, Hampton Roads, the Northern Neck, the Eastern Shore, and the James River to enhance flood forecasting and community resilience planning",Not stated in source,Virginia - MARACOOS,https://maracoos.org/region/virginia/,Medium,Strong,Yes,Web summary page; no installation counts or outcome metrics in the retrieved text; resilience benefit not monetized; source date not explicit,MARACOOS says its Virginia water-level sensors support flood forecasting and resilience planning for coastal communities.,Real-time,Direct decision-use row for resilience; geography and user groups are named in the source.
MARACOOS-MA-013,Coastal hazards / resilience,Maryland water-level sensors via MARACOOS and University of Maryland,Maryland coast,MARACOOS,"Communities, forecasters, planners",Improve coastal and inland flood forecasting,Better flood forecasts can support preparedness and reduce disruption to people and property,MARACOOS says new water-level sensors across Maryland deliver real-time flood data to improve coastal and inland flood forecasting,Not stated in source,Chesapeake Bay - MARACOOS,https://maracoos.org/region/chesapeake-bay/,Medium,Strong,Yes,"Web summary page with no deployment count or hazard-loss quantification; benefit pathway is plausible but not monetized; state-specific, not full regionwide",MARACOOS says its Maryland sensor deployments support real-time flood forecasting decisions.,Real-time,Good resilience row linked to an explicit decision use: flood forecasting.
MARACOOS-MA-014,Coastal hazards / resilience,Delaware coastal wave buoys and water-level sensors,Delaware coast and Delaware Bay,MARACOOS,"Navigators, hazard planners, coastal managers","Monitor ocean conditions for navigation, hazard preparedness, and coastal planning",Improved condition monitoring can support safer operations and better coastal planning,"MARACOOS says new collaborations are bringing seven wave buoys and additional water-level sensors to Delaware’s coast for navigation, hazard preparedness, and planning",Not stated in source,Delaware Bay - MARACOOS,https://maracoos.org/region/delaware-bay/,Medium,Strong,Yes,"Web summary page; no operations date or observed outcomes in retrieved text; source describes assets and intended decision use, not measured benefits; exact sensor status should be checked",MARACOOS says its Delaware wave buoys and water-level sensors support navigation and coastal-hazard planning.,Real-time,Direct asset-and-use row; good fit for resilience and maritime operations.
MARACOOS-MA-015,Water quality / planning,HRECOS continuous water-quality monitoring in MARACOOS context,"Hudson River and Mohawk River, New York",MARACOOS,"Fisheries managers, water-resource planners, public-health stakeholders",Track river conditions and inform ecosystem and water-resource decisions,"Better water-quality information can support planning for fisheries, public health, and river uses","MARACOOS says HRECOS and NYSDEC monitor 17 sites every 15 minutes for salinity, temperature, dissolved oxygen, and nutrients",Not stated in source,New York - MARACOOS,https://maracoos.org/region/new-york/,Medium,Medium,Yes,Source is a MARACOOS regional summary; HRECOS is a partner system rather than a MARACOOS-only asset; no explicit economic valuation; public-health and planning benefits are described broadly,MARACOOS says HRECOS continuous monitoring informs fisheries and water-resource planning in New York.,Every 15 minutes,"Useful direct-use row for water quality, with clear parameters, cadence, and user groups."
MARACOOS-MA-016,Offshore wind and marine operations,OceansMap Insight: Wind Farm Blade Inspection Acceptable Operational Conditions,Hudson Canyon lease area / Mid-Atlantic offshore wind areas,MARACOOS,Offshore wind operators and marine operations planners,Choose time windows when blade inspection can proceed safely,Better weather-window selection can reduce offshore standby time and operational risk,Insight highlights times and places acceptable for blade inspection using thresholds of waves less than 1.5 m and wind less than 10 m/s at blade hub height,Not stated in source,Insights - MARACOOS,https://maracoos.org/insights/,Medium,Strong,Yes,Demonstration product page rather than user log or cost study; no operator adoption data; operational savings are inferred from clearer windows; thresholds may vary by operator and task,MARACOOS publishes an offshore-wind operations workflow that flags blade-inspection windows using wave and wind thresholds.,Current conditions plus forecast windows,High-value direct offshore-wind row because the source names a concrete operation and thresholds.
MARACOOS-MA-017,Offshore wind and marine operations,Atlantic Shores Offshore Wind buoy data managed and quality controlled through MARACOOS DMAC,New Jersey offshore wind lease area,MARACOOS,"Offshore wind developers, mariners, modelers","Support development, construction, and metocean planning decisions",Shared metocean data can reduce planning uncertainty for construction and marine operations,"DMP says Atlantic Shores buoys assist understanding of wind, ocean, and weather conditions to support development and construction, with broader value to mariners and the modeling community",2021-2024 deployment period described in source,MARACOOS Data Management Plan 2021 FINAL.docx,https://maracoos.org/wp-content/uploads/2026/02/MARACOOS-Data-Management-Plan-2021-FINAL.docx.pdf,Medium,Strong,Yes,"Technical management document, not an external benefit study; some deployment dates are historical and may be outdated; does not quantify avoided downtime or cost savings",MARACOOS documents that it manages offshore-wind buoy data used to support development and construction planning off New Jersey.,Every 30 minutes for harvested data,"Source provides unusually specific operational detail, including developer, lease area purpose, and MARACOOS data-management role."
MARACOOS-MA-018,Offshore wind and marine operations,MARACOOS SST coldest-pixel product and seabreeze predictions,Mid-Atlantic offshore wind development areas and nearby onshore markets,MARACOOS,"State agencies, energy planners, offshore wind stakeholders",Use wind-field and demand information in planning and forecasting,Better nearshore wind-field and demand calculations can improve planning for energy operations and ratepayer-facing forecasts,Strategic plan says MARACOOS seabreeze predictions support state agencies and onshore energy demand calculations that benefit energy rate payers,Not stated in source; plan period 2021-2026,MARACOOS Strategic Operational Plan 2021-2026,https://maracoos.org/wp-content/uploads/2023/08/MARACOOS_StrategicOperationalPlan_2021-2026-FINAL.pdf,Medium,Strong,Yes,Planning document and broad claim; no quantified ratepayer savings; operational mechanism is described but not independently validated in the source; may require partner verification,MARACOOS states that its atmospheric and SST-derived products support energy-demand calculations used by state agencies.,Forecast / not stated,Direct but cautious energy row; benefit should be framed as decision support rather than savings.
MARACOOS-MA-019,HABs / shellfish / water quality,OceansMap Insight: Virginia Beach Coastal Algae Risk Dashboard,"Virginia Beach, Virginia",MARACOOS,"Beach managers, public-health communicators, recreation users",Assess whether algae-related conditions may affect beach use and advisories,Better local condition awareness can support safer recreation and reduce avoidable disruptions,"Dashboard shows probability of encountering HABs plus predicted surface temperature, currents, winds, and wave forecasts",Not stated in source,Insights - MARACOOS,https://maracoos.org/insights/,Modeled,Strong,Yes,Product page does not show adoption or health outcomes; HAB probability is modeled; no economic value or beach-closure metric is provided; local recreational use is inferred,MARACOOS publishes a Virginia Beach dashboard that combines HAB risk with physical forecast conditions for local situational awareness.,Forecast / not stated,Good direct dashboard row for beach-use decisions; label as modeled because probability output is model based.
MARACOOS-MA-020,HABs / shellfish / water quality,OceansMap Insight: Baltimore Coastal Algae Risk Dashboard based on CBEFS datasets,"Baltimore coast, Maryland",MARACOOS,"Local users, water-quality stakeholders, recreation and public-health users",Review modeled bloom and species-encounter risk in local waters,Better awareness of bloom or pathogen-related conditions can support precautionary use decisions,"Dashboard shows probability of HAB occurrence and percent chance of encountering specific species including V. vulnificus, P. minimum, and sea nettles, alongside physical forecasts",Not stated in source,Insights - MARACOOS,https://maracoos.org/insights/,Modeled,Strong,Yes,Product description rather than outcome study; species probabilities are modeled; local user groups are not named individually in the retrieved text; no closure or revenue metric is supplied,MARACOOS publishes a Baltimore-area algae-risk dashboard that combines modeled biological risk with physical forecast conditions.,Forecast / not stated,Strong MARACOOS attribution because the dashboard is on MARACOOS Insights; modeled designation is appropriate.
MARACOOS-MA-021,HABs / shellfish / water quality,Chesapeake Bay Environmental Forecast System,Chesapeake Bay,MARACOOS,"Watermen, boaters, environmental managers",Plan on-the-water activities and monitor Bay health using short-term forecasts,"Better environmental forecasting can reduce uncertainty for fishing, recreation, and bay-use decisions","CBEFS provides today, 2-day, and 5-day forecasts and is presented for monitoring Bay health and planning on-the-water activities",Not stated in source,CBEFS | Virginia Institute of Marine Science,https://www.vims.edu/research/products/cbefs/,Medium,Medium,Yes,Partner product page rather than explicit MARACOOS product page; no user counts or monetized benefit; attribution to MARACOOS is indirect unless paired with MARACOOS regional pages; update schedule taken from product description,A MARACOOS-supported Chesapeake Bay forecasting system provides short-term environmental forecasts that users can apply to Bay-use decisions.,Daily nowcast and short-term forecast,Use cautiously as a partner-system row with medium attribution; direct decision language is on the VIMS page.
MARACOOS-MA-022,HABs / recreation,CBEFS Sea Nettles forecast,Chesapeake Bay,MARACOOS,"Tourists, beachgoers, recreational users",Check jellyfish encounter risk before using Bay waters,Better trip timing and site choice can reduce unpleasant or unsafe recreational exposures,Forecast provides percent chance of encountering sea nettles using salinity and temperature forecasts; page says to use for informational purposes only,Not stated in source,Sea Nettles | Virginia Institute of Marine Science,https://www.vims.edu/research/products/cbefs/sea_nettles/,Modeled,Medium,Yes,Research product with explicit informational-use caveat; no validation or economic metrics on retrieved lines; MARACOOS attribution is indirect through CBEFS relationship; recreational benefit is inferred,"A Chesapeake Bay sea-nettle forecast can provide informational support for recreation decisions, but the source says it should be used for informational purposes only.",Forecast / not stated,Conservative wording is important because the source includes a disclaimer.
MARACOOS-MA-023,HABs / water quality,CBEFS Harmful Algal Bloom Forecast,Chesapeake Bay,MARACOOS,"Water-quality stakeholders, local users",Review short-term probability of HAB occurrence,Better bloom awareness can support precautionary local decisions,Forecast provides probability of encountering any type of HAB using a random-forest model and also a P. minimum forecast,Not stated in source,Harmful Algal Blooms (EXPERIMENTAL) | Virginia Institute of Marine Science,https://www.vims.edu/research/products/cbefs/harmful_algal_blooms/,Modeled,Medium,Yes,Experimental model product; no local management action or validation metric in retrieved lines; attribution to MARACOOS is indirect; use should stay at the informational or pilot stage,"A Chesapeake Bay HAB forecast provides modeled bloom-probability information that can inform precautionary local decisions, but it remains an experimental product.",Forecast / not stated,Row should be clearly tagged as modeled and experimental.
MARACOOS-MA-024,Fisheries / water quality,CBEFS Depth to 3 mg/L dissolved oxygen product,Chesapeake Bay,MARACOOS,"Commercial and recreational fishers, fisheries managers",Identify where low oxygen may compress usable fish habitat,Better habitat awareness can support fishing and management decisions,Source says productive fishing areas are squeezed by low dissolved oxygen and the product maps the depth to 3 mg/L dissolved oxygen,Not stated in source,Depth to 3 mg/L Dissolved Oxygen | Virginia Institute of Marine Science,https://www.vims.edu/research/products/cbefs/depth_to_3mgl/,Modeled,Medium,Yes,Model-based indicator with disclaimer; no evidence of actual fleet use or avoided costs on the page; MARACOOS attribution is indirect; habitat-to-economic-benefit pathway is inferred,A Chesapeake Bay low-oxygen product can help users visualize summer habitat squeeze in productive fishing areas.,Forecast / not stated,"Strong fit for fisheries decision support, but keep claim at visualization and situational awareness."
MARACOOS-MA-025,Fisheries / water quality,CBEFS hypoxic-volume estimates,Chesapeake Bay,MARACOOS,"Water-quality managers, fisheries stakeholders",Track severity of the dead zone through the season,More frequent dead-zone estimates can improve timing and interpretation of management communications and Bay-use decisions,"CBEFS estimates hypoxic volume every day, whereas boat observations are collected once or twice a month",1985-2025 reference series; 2026 current forecast,Real-time Estimates of Hypoxic Water Volume | Virginia Institute of Marine Science,https://www.vims.edu/research/products/cbefs/hypoxic-volume/,Modeled,Medium,Yes,Model-based metric with uncertainty; no direct economic valuation; page focuses on environmental severity rather than decisions; MARACOOS attribution is indirect through CBEFS relation,Daily dead-zone estimates can provide more timely situational awareness than infrequent shipboard observations.,Daily,Good row for decision cadence because the source explicitly contrasts daily model estimates with less frequent boat observations.
MARACOOS-MA-026,Shellfish / water quality,Planned Delaware Inland Bay acidification monitoring at Delaware Cultured Seafood oyster lease,Delaware Inland Bay near Indian River Inlet,MARACOOS,"Shellfish aquaculture operators, hatcheries, oyster-reef stakeholders",Monitor acidification variability and shellfish-health conditions at an oyster lease,Better acidification information can support husbandry and site management decisions for shellfish operations,"Strategic plan describes one new SeapHOx pH and dissolved-oxygen sensor at the DCS oyster lease, with hourly pH and salinity observations for carbonate metrics",Prospective plan in 2021-2026 document,MARACOOS Strategic Operational Plan 2021-2026,https://maracoos.org/wp-content/uploads/2023/08/MARACOOS_StrategicOperationalPlan_2021-2026-FINAL.pdf,Modeled,Strong,Yes,"Prospective plan, not confirmed operational deployment in the retrieved text; no realized production benefit yet; geographic scope is a single lease area; economic pathway is anticipated rather than measured",MARACOOS planned an acidification-monitoring site at a Delaware shellfish lease to provide near-real-time information relevant to hatcheries and oyster reefs.,Hourly planned observations,"Include because it is directly relevant to shellfish and highly specific, but keep clearly prospective."
